id,age,year,wrkstat,hrs1,marital,agekdbrn,sibs,chathr,emailhr,postlife,sex,othlang,born,engunite,payexec,comwht,race,realrinc,educ,grass,degree,letters,aged,realinc,childs,abpoor,abany,prestg80,mapres80,papres80,wordsum,pasei,masei,god,numcong,grass_missing
1364,26,2000,"working fulltime",38,"never married",17,6,,,"yes","female","yes","yes",,,85,"other",,12,,"high school",,,,3,"no","no",29,,40,,37.3,,,500,.a
1365,47,2000,"working fulltime",89,"never married",,1,,,"yes","male",,"yes",,,,"white",18287,14,"not legal","high school","0","a good idea",24937,0,,,29,43,19,,37,35.4,,,"not legal"
1366,24,2000,"working fulltime",60,"never married",,2,2,2,,"female",,"yes",,,,"white",21612,16,"not legal","bachelor",,"depends",21612,0,"yes","yes",44,42,40,6,45.8,54.2,"know god exists",,"not legal"
1367,50,2000,"working fulltime",50,"divorced",,5,1,2,"yes","female",,"no",,,,"white",36575,20,,"graduate","3-5",,36575,0,"no","yes",57,46,,9,,38.4,"know god exists",500,.a
1368,56,2000,"working fulltime",40,"divorced",21,3,0,3,,"female",,"yes",,,,"white",15793,12,"not legal","high school",,"a bad idea",15793,3,"no","no",47,32,47,9,38.2,38.9,"know god exists",40,"not legal"
1369,38,2000,"working parttime",16,"never married",,3,,,"no","female",,"yes",,,,"black",,12,,"high school","0",,,0,"no","yes",34,,42,3,32.3,,,,.a
1370,70,2000,"retired",,"widowed",16,2,,,"yes","female","yes","yes","agree",50000,0,"black",,8,"not legal","lt high school",,"a bad idea",3657,5,"yes","no",22,,42,,29.3,,,5000,"not legal"
1371,43,2000,"working fulltime",40,"never married",26,16,,10,"yes","female",,"yes",,,,"black",10806,14,,"junior college","1-2",,14131,2,"no","no",42,30,,6,,25.4,"know god exists",400,.a
1372,68,2000,"retired",,"widowed",16,13,,,"yes","female","no","yes","agree",,0,"black",,10,"not legal","lt high school",,"a good idea",,5,,,32,23,28,,17.1,22.5,,800,"not legal"
1373,37,2000,"working fulltime",40,"separated",19,2,,,"yes","female",,"yes",,,,"black",7481,15,"not legal","high school","11-15","a bad idea",7481,2,,,57,20,,4,,21.2,"know god exists",200,"not legal"
1374,32,2000,"working fulltime",40,"never married",,0,,0,"yes","male",,"yes",,,,"black",,12,"not legal","high school","0","a good idea",,0,,,22,44,,3,,59.1,"know god exists",,"not legal"
1375,54,2000,"working fulltime",40,"divorced",19,3,,,,"female",,"yes",,,,"black",9143,12,"not legal","high school",,"a good idea",9143,2,"no","no",20,32,22,6,28.4,22.9,"know god exists",1000,"not legal"
1376,36,2000,"other",,"never married",18,4,,,"no","female","no","yes","agree",,10,"black",,9,"not legal","lt high school",,"a bad idea",4322,2,"no","no",31,,37,,26.7,,,,"not legal"
1377,89,2000,"retired",,"widowed",18,3,,,,"female",,"yes",,,,"black",,10,"not legal","lt high school","6-10","a good idea",9143,4,,,,,24,6,29.2,,"know god exists",200,"not legal"
1378,77,2000,"retired",,"widowed",17,3,,,,"female","no","yes","agree","> 1000000",0,"black",,8,"not legal","lt high school",,"a bad idea",7481,3,,,17,,,,,,,4000,"not legal"
1379,33,2000,"keeping house",,"never married",23,3,,,"yes","male","no","yes","agree",35000,0,"black",1330,12,"not legal","lt high school",,"a bad idea",141038,2,,,31,23,,,,22.5,,250,"not legal"
1380,23,2000,"working fulltime",39,"never married",,2,0,0,"yes","female",,"yes",,,,"black",,14,,"junior college","0",,12468,0,"no","no",29,37,,4,,44.4,"know god exists",150,.a
1381,86,2000,"retired",,"widowed",29,14,,,,"female",,"yes",,,,"black",,12,"not legal","high school",,"a bad idea",10806,4,"no",,23,23,35,5,36.4,29.2,"know god exists",500,"not legal"
1382,21,2000,"working fulltime",40,"never married",19,2,,,,"male",,"yes",,,,"black",1330,13,"legal","high school",,"depends",24937,1,"yes","yes",57,60,,6,,43.7,"know god exists",5000,"legal"
1383,77,2000,"retired",,"separated",19,13,,,"yes","female",,"yes",,,,"black",,10,"legal","lt high school","1-2","a good idea",9143,2,,,23,,40,2,37.3,,"know god exists",,"legal"
1384,44,2000,"working fulltime",35,"married",17,4,,,"no","female",,"yes",,,,"black",5985,13,,"high school","1-2",,9143,1,"yes","no",20,64,,4,,78.5,"know god exists",20,.a
1385,42,2000,"working fulltime",50,"divorced",21,4,,,"yes","female","no","yes","agree",100000,40,"black",10806,12,,"high school",,,10806,2,"no","no",20,29,30,,31.5,18.5,,,.a
1386,45,2000,"retired",,"separated",21,3,,,"yes","male",,"yes",,,,"black",,13,,"high school","0",,1330,2,"no","yes",30,51,,4,,63.5,"know god exists",20,.a
1387,30,2000,"working fulltime",40,"married",29,6,,,"yes","female","no","yes","strongly agree",25000,50,"white",18287,14,"legal","high school",,"a good idea",29925,1,,,51,41,65,,76.4,31.4,,800,"legal"
1388,46,2000,"other",,"divorced",,3,,,,"male",,"yes",,,,"white",,12,"not legal","high school",,"a bad idea",15793,0,"no","no",49,,49,6,,,"know god exists",2500,"not legal"
1389,25,2000,"working fulltime",40,"divorced",,3,0,1,"no","female",,"yes",,,,"black",12468,12,"not legal","high school","1-2","a good idea",12468,0,,,31,34,24,6,29.2,37.7,"know god exists",20,"not legal"
1390,29,2000,"working fulltime",40,"never married",23,5,,,,"male","no","yes","agree",,70,"black",,14,"legal","high school",,"a good idea",,3,"no","no",45,51,30,,31.5,63.5,,,"legal"
1391,35,2000,"working parttime",26,"never married",22,22,,,,"male",,"yes",,,,"black",,12,,"high school",,"depends",10806,1,"no","no",31,,39,5,34.2,,"know god exists",700,.b
1392,78,2000,"retired",,"married",25,3,,,"yes","male","no","yes","strongly agree",,60,"white",,12,"not legal","high school",,"a bad idea",36575,4,"no","no",34,,40,,37.3,,,100,"not legal"
1393,28,2000,"working fulltime",40,"married",,1,0,0,,"female",,"yes",,,,"white",10806,16,"not legal","bachelor",,"a bad idea",29925,0,,"no",60,55,54,7,49.6,56.6,"know god exists",,"not legal"
1394,53,2000,"temp not working",,"married",21,7,,0,"yes","male","no","yes","agree",350000,100,"white",,15,"not legal","high school",,"depends",,2,,,57,,40,,37.3,,,500,"not legal"
1395,50,2000,"keeping house",,"married",17,5,0,5,,"female",,"yes",,,,"white",,12,"not legal","high school",,"a bad idea",,2,"no","no",47,,40,7,37.3,,"know god exists",,"not legal"
1396,44,2000,"working parttime",28,"married",29,3,,,"no","female",,"yes",,,,"black",4322,15,"not legal","high school","1-2","a bad idea",15793,3,,,29,23,33,6,27.7,22.5,"know god exists",63,"not legal"
1397,36,2000,"school",,"divorced",15,5,,0,"yes","female","no","yes","agree",60000,80,"black",,12,"not legal","high school",,"a bad idea",1330,4,,,33,,,,,,,,"not legal"
1398,78,2000,"retired",,"widowed",22,10,,,"yes","male",,"yes",,,,"white",,6,"not legal","lt high school","0","a bad idea",5985,6,,,36,,,2,,,"know god exists",,"not legal"
1399,29,2000,"working fulltime",40,"married",23,2,,10,"no","male","no","yes","agree",150000,70,"white",12468,14,,"high school",,,18287,2,"yes","yes",49,47,47,,38.2,38,,80,.a
1400,25,2000,"working fulltime",47,"married",,1,,,"yes","female","no","yes","strongly agree",150000,70,"white",14131,14,"not legal","junior college",,"a good idea",36575,0,"no","no",65,66,41,,45.4,80.3,,500,"not legal"
1401,38,2000,"working fulltime",60,"never married",,5,,0,"yes","male",,"yes",,,,"white",44887,12,,"high school","3-5",,44887,0,"yes","no",51,28,34,7,30,32.4,"believe but doubts",,.a
1402,25,2000,"working fulltime",45,"never married",,0,9,5,,"male",,"yes",,,,"white",24937,12,"legal","high school",,"a good idea",24937,0,"yes","yes",51,43,,8,,63.2,"believe but doubts",,"legal"
1403,25,2000,"working fulltime",60,"never married",,2,0,2,"yes","female","no","yes","agree",,55,"white",21612,16,,"bachelor",,,21612,0,"no","no",59,43,,,,36.9,,1600,.a
1404,64,2000,"retired",,"married",21,0,,,"yes","male","no","yes","strongly agree","> 1000000",95,"white",,12,"not legal","high school",,"a good idea",66500,2,"no","no",49,,49,,64.1,,,300,"not legal"
1405,46,2000,"working fulltime",75,"married",31,0,0,1,"yes","male",,"yes",,,,"white",44887,18,"not legal","graduate","1-2","a bad idea",141038,1,,,59,64,40,10,37.3,78.5,"know god exists",300,"not legal"
1406,79,2000,"keeping house",,"never married",,3,0,3,"yes","female",,"yes",,,,"white",333,18,,"graduate","50+",,10806,0,"no","no",66,,42,10,50.2,,"know god exists",1400,.a
1407,61,2000,"working fulltime",40,"married",21,1,,,"yes","male","no","yes","agree",,75,"white",134018,15,"not legal","high school",,"a bad idea",141038,2,,,49,,49,,74,,,300,"not legal"
1408,61,2000,"working fulltime",35,"widowed",27,4,,,"yes","female","no","yes","strongly agree",,60,"white",14131,12,"not legal","high school",,"a good idea",14131,3,"no","no",45,30,69,,73.9,38.4,,3000,"not legal"
1409,44,2000,"working fulltime",40,"married",32,0,,0,"yes","female","no","yes","agree","> 1000000",70,"white",14131,13,,"high school",,,29925,1,"yes","yes",49,,,,,,,50,.a
1410,24,2000,"working fulltime",40,"married",,4,,,"yes","male",,"yes",,,,"white",24937,12,,"high school","3-5","a good idea",24937,0,,,27,20,69,5,73.9,21.2,"know god exists",50,.b
1411,34,2000,"working fulltime",40,"married",18,15,,1,,"female",,"yes",,,,"black",21612,12,"not legal","high school",,,44887,1,"no","no",59,23,23,6,26.5,22.5,"know god exists",70,"not legal"
1412,36,2000,"working fulltime",40,"divorced",22,1,,,"yes","male","no","yes","strongly agree","> 1000000",75,"white",24937,14,"legal","high school",,"a good idea",24937,2,"no","no",25,46,,,,38.4,,,"legal"
1413,37,2000,"working fulltime",60,"married",23,2,0,2,"yes","male",,"yes",,,,"white",29925,15,,"high school","26-50",,44887,2,"no","no",44,46,59,6,73.3,38.4,"know god exists",150,.a
1414,29,2000,"working fulltime",40,"divorced",23,1,,0,"yes","female","no","yes","strongly agree",,60,"white",18287,17,,"graduate",,,24937,2,"no","yes",65,42,,,,36.1,,200,.a
1415,32,2000,"working fulltime",50,"married",24,4,,1,"yes","male","no","yes","agree",100000,80,"white",29925,13,"not legal","high school",,"a good idea",36575,1,,,47,69,22,,28.4,74.4,,1000,"not legal"
1416,35,2000,"working fulltime",35,"married",25,7,,,"yes","male","no","yes","strongly agree","> 1000000",95,"white",15793,12,"not legal","high school",,"a good idea",21612,2,"yes","yes",51,46,,,,38.4,,,"not legal"
1417,42,2000,"working fulltime",56,"never married",27,3,,0,"yes","female","no","yes","agree",250000,75,"white",15793,16,,"bachelor",,,21612,1,"yes",,49,64,50,,37.8,78.5,,400,.a
1418,39,2000,"working parttime",24,"married",24,3,0,30,"no","female",,"yes",,,,"white",,13,"not legal","high school","0","a bad idea",,2,,,48,30,36,4,48.8,38.4,"know god exists",,"not legal"
1419,29,2000,"unempl, laid off",,"married",26,3,0,8,"yes","male","yes","yes","strongly agree",400000,85,"white",21612,15,"not legal","high school",,"a bad idea",141038,3,,,51,,64,,78.5,,,1500,"not legal"
1420,59,2000,"working fulltime",40,"divorced",20,2,,,"yes","female","no","yes","strongly agree","> 1000000",80,"white",24937,12,,"high school",,"a good idea",24937,1,"yes","yes",40,17,32,,29.8,29,,4000,.b
1421,28,2000,"temp not working",,"never married",25,2,,,"no","male","no","yes","strongly agree",125000,40,"white",21612,12,"legal","high school",,"a bad idea",21612,1,"no","no",39,,47,,53.9,,,,"legal"
1422,48,2000,"working fulltime",60,"married",23,8,0,1,,"male","no","yes","strongly agree",,40,"white",,11,"legal","high school",,"a bad idea",,2,,,30,,19,,29.5,,,,"legal"
1423,32,2000,"working fulltime",52,"married",27,7,,0,"yes","male",,"yes",,,,"black",14131,12,,"high school","3-5",,29925,1,"no","no",35,42,24,5,29.2,29.3,"know god exists",250,.a
1424,38,2000,"working fulltime",32,"divorced",20,2,,0,"yes","female",,"yes",,,,"white",14131,12,"legal","high school","3-5","a bad idea",15793,2,,,31,35,53,6,52.4,26.7,"know god exists",55,"legal"
1425,42,2000,"temp not working",,"married",18,6,,0,"yes","female",,"yes",,,,"black",14131,13,,"high school","0",,14131,2,"no","no",66,35,30,4,29.4,26.7,"know god exists",4000,.a
1426,21,2000,"keeping house",,"married",20,2,0,1,,"female",,"yes",,,,"white",,12,"legal","high school",,"a good idea",18287,1,"no","no",,28,51,5,63.5,32.4,"know god exists",,"legal"
1427,64,2000,"retired",,"widowed",18,1,,,"yes","female",,"yes",,,,"white",18287,12,,"high school","0",,18287,2,,"yes",47,51,23,5,26.5,69.7,"know god exists",500,.a
1428,24,2000,"working fulltime",62,"never married",,0,,,"yes","male","no","yes","disagree",700000,70,"white",21612,12,"legal","high school",,"a good idea",44887,0,,,30,,30,,31.5,,,100,"legal"
1429,23,2000,"working fulltime",70,"married",20,0,12,2,,"male",,"yes",,,,"white",14131,13,"not legal","high school",,"a good idea",18287,1,"yes","yes",44,75,51,7,63.5,92.3,"believe sometimes",100,"not legal"
1430,50,2000,"working fulltime",70,"divorced",27,1,,0,"yes","male",,"yes",,,,"white",21612,16,"legal","high school","6-10","a bad idea",24937,2,,,51,46,69,6,73.9,38.4,"know god exists",,"legal"
1431,34,2000,"working fulltime",40,"separated",17,4,3,1,"yes","female","no","yes","strongly agree",100000,25,"white",12468,10,,"high school",,"a good idea",14131,2,,,39,21,51,,44.7,34.8,,,.b
1432,81,2000,"retired",,"married",26,2,,,"yes","female",,"yes",,,,"white",,16,,"bachelor","50+",,21612,4,"yes","no",64,,51,9,69.7,,"know god exists",300,.a
1433,48,2000,"working parttime",30,"never married",,6,,,"yes","female",,"yes",,,,"white",,12,"legal","high school","0","a good idea",,0,,,23,,45,6,38.1,,"some higher power",,"legal"
1434,73,2000,"keeping house",,"married",26,1,,,"yes","female",,"yes",,,,"white",,13,,"high school","3-5",,,3,"yes","no",46,47,36,5,32,38,"know god exists",3000,.a
1435,42,2000,"working fulltime",40,"never married",,6,,,"yes","male",,"yes",,,,"white",29925,12,"not legal","high school","16-25","a good idea",66500,0,,,36,31,47,7,48.5,46.8,"believe but doubts",1000,"not legal"
1436,57,2000,"working fulltime",50,"married",49,2,0,15,"no","male","no","yes","agree","> 1000000",95,"white",66500,20,,"graduate",,,141038,2,"yes","yes",74,,40,,37.3,,,,.a
1437,56,2000,"working parttime",20,"married",18,6,,0,"yes","female","yes","no","strongly agree",,,"white",,14,"not legal","high school",,"a good idea",,2,,,36,32,47,,56.5,38.9,,200,"not legal"
1438,47,2000,"working fulltime",40,"separated",29,6,,,,"male","no","yes","strongly agree",750000,40,"black",15793,14,,"high school",,,15793,1,"yes",,27,43,51,,63.5,63.2,,3000,.a
1439,21,2000,"working parttime",23,"never married",,2,0,2,"yes","female",,"yes",,,,"white",333,12,,"high school","6-10",,44887,0,"yes","no",35,33,47,,48.5,50.5,"some higher power",200,.a
1440,38,2000,"working fulltime",40,"divorced",,4,0,1,"yes","male",,"yes",,,,"white",36575,17,"not legal","bachelor","3-5","a good idea",36575,0,,,59,49,,6,,64.2,"know god exists",300,"not legal"
1441,51,2000,"working fulltime",50,"married",25,1,,0,"yes","male","no","yes","strongly agree",200000,45,"black",29925,20,"not legal","graduate",,"a good idea",141038,3,,,51,28,,,,25.2,,50,"not legal"
1442,60,2000,"working fulltime",60,"married",32,2,,5,"yes","male",,"yes",,,,"white",36575,14,"not legal","junior college","50+","a good idea",44887,4,,,51,,36,5,25.5,,"believe but doubts",550,"not legal"
1443,50,2000,"working fulltime",51,"divorced",17,5,,,"yes","female","no","yes","agree",500000,90,"black",21612,14,"legal","high school",,"a bad idea",21612,2,"yes","yes",28,35,36,,29.4,26.7,,,"legal"
1444,74,2000,"retired",,"never married",16,10,,,,"female",,"no",,,,"black",,15,"not legal","junior college",,"a good idea",15793,"eight or more","no","no",66,,35,4,33.1,,,,"not legal"
1445,41,2000,"school",,"never married",,2,,1,"yes","male","no","yes","disagree",200000,40,"white",10806,16,,"bachelor",,,10806,0,"no","no",57,46,34,,37.7,38.4,,,.a
1446,47,2000,"working fulltime",40,"never married",,2,,,"yes","female","no","yes","strongly agree",,50,"white",29925,15,"not legal","junior college",,"a bad idea",29925,0,"yes","yes",32,,40,,37.3,,,,"not legal"
1447,59,2000,"working fulltime",40,"married",23,1,,0,"yes","female","no","yes","agree","> 1000000",55,"white",14131,12,"not legal","high school",,"a good idea",36575,2,,,51,,47,,38.2,,,600,"not legal"
1448,53,2000,"keeping house",,"divorced",18,6,,,,"female",,"yes",,,,"black",,12,"not legal","high school",,"a good idea",5985,4,"no","no",35,20,31,6,26.9,21.2,,5000,"not legal"
1449,69,2000,"retired",,"widowed",19,8,,,"yes","male",,"yes",,,,"white",,12,,"lt high school","16-25",,12468,5,"no","no",47,,30,3,31.5,,"know god exists",,.a
1450,42,2000,"keeping house",,"married",31,1,,0,,"female",,"yes",,,,"white",,16,"not legal","bachelor",,"a good idea",66500,3,"no","no",48,47,44,7,50.7,38,"believe but doubts",200,"not legal"
1451,63,2000,"retired",,"divorced",22,2,,,"no","female",,"yes",,,,"white",,17,,"graduate","16-25",,9143,2,"yes","yes",57,,47,8,38.2,,"some higher power",,.a
1452,19,2000,"school",,"never married",,1,0,5,,"female",,"yes",,,,"white",1330,13,"legal","high school",,"a bad idea",1330,0,"no","yes",65,54,64,8,85.1,68.8,"know god exists",,"legal"
1453,57,2000,"working fulltime",50,"separated",29,1,,0,,"male","yes","yes","agree",800000,95,"white",44887,17,,"bachelor",,,66500,3,"yes","yes",68,,64,,85.1,,,300,.a
1454,62,2000,"working parttime",25,"divorced",25,2,,0,"yes","female",,"yes",,,,"white",10806,12,"legal","high school","6-10","a good idea",10806,2,,,21,,64,7,85.1,,,500,"legal"
1455,65,2000,"retired",,"married",21,3,,,"yes","male","yes","yes","agree",,60,"white",,11,"not legal","high school",,"a good idea",24937,1,,,34,28,,,,32.4,,500,"not legal"
1456,36,2000,"working parttime",30,"never married",,6,,0,,"male",,"yes",,,,"white",9143,13,,"high school","3-5",,21612,0,"yes","yes",29,,74,9,83.2,,,,.a
1457,37,2000,"working fulltime",50,"never married",,1,2,10,"yes","female",,"yes",,,,"white",21612,20,"legal","graduate","6-10","a good idea",36575,0,,,39,66,59,8,73.6,73.2,"believe but doubts",200,"legal"
1458,52,2000,"working parttime",25,"never married",,1,,,,"female","no","yes","strongly agree","> 1000000",80,"white",9143,18,,"graduate",,,9143,0,,,46,47,,,,38,,,.b
1459,19,2000,"working parttime",13,"never married",,3,,1,"yes","female",,"no",,,,"other",1330,11,"not legal","lt high school","11-15","a good idea",,0,,,29,,,3,,,,,"not legal"
1460,40,2000,"working fulltime",47,"never married",38,2,,,"yes","female","yes","yes","disagree",50000,,"white",10806,12,"not legal","high school",,"a good idea",10806,1,,,41,28,,,,32.4,,200,"not legal"
1461,23,2000,"working fulltime",52,"never married",,5,,0,"yes","male","no","yes","strongly agree",,30,"white",,11,"legal","lt high school",,"a bad idea",14131,0,,,34,40,40,,32.3,41.3,,,"legal"
1462,61,2000,"retired",,"married",20,2,,,"no","male","no","no","agree",,50,"white",,8,,"lt high school",,,18287,6,"yes","yes",41,24,30,,27.3,29.2,,,.a
1463,40,2000,"working fulltime",38,"married",,2,,,"yes","male",,"yes",,,,"black",10806,12,"not legal","high school","6-10","a good idea",24937,0,,,42,42,47,7,54.9,29.3,"believe but doubts",,"not legal"
1464,47,2000,"working fulltime",46,"divorced",31,1,0,0,"no","male","no","yes","agree",200000,90,"white",44887,12,,"high school",,,44887,2,"yes","yes",35,28,51,,44.7,32.4,,,.a
1465,59,2000,"working parttime",20,"never married",,3,,,"yes","male",,"yes",,,,"white",7481,12,"legal","high school","0","a good idea",7481,0,,,22,,34,7,26.6,,"know god exists",,"legal"
1466,34,2000,"school",,"never married",,3,0,10,,"male",,"yes",,,,"white",,20,,"graduate","3-5",,12468,0,"yes","yes",47,51,51,10,63.5,63.5,"believe sometimes",,.a
1467,35,2000,"keeping house",,"married",28,4,0,1,"yes","female","no","yes","agree",120000,70,"white",1330,17,,"bachelor",,,21612,4,"no","no",36,45,39,,53.7,39.6,,1000,.a
1468,40,2000,"temp not working",,"married",,3,,,,"female",,"yes",,,,"white",7481,12,"legal","high school",,"a good idea",44887,0,"yes","yes",21,28,,7,,32.4,"believe but doubts",,"legal"
1469,50,2000,"working fulltime",40,"never married",,1,,,"yes","male","no","yes","strongly agree",200000,75,"white",29925,16,"not legal","bachelor",,"a bad idea",29925,0,"yes","yes",51,35,47,,53.9,26.7,,1500,"not legal"
1470,30,2000,"working fulltime",45,"never married",,0,,,,"male",,"yes",,,,"white",24937,16,"legal","bachelor",,"a good idea",24937,0,"no","no",65,,51,6,44.7,,,5000,"legal"
1471,48,2000,"working fulltime",48,"married",29,5,,0,"no","female","no","yes","agree",,100,"white",14131,12,"not legal","high school",,"a good idea",36575,2,,,40,,,,,,,3000,"not legal"
1472,48,2000,"working parttime",20,"married",21,4,0,,"yes","female",,"yes",,,,"white",9143,14,"not legal","junior college","1-2","a good idea",21612,3,,,34,,30,5,31.5,,"know god exists",1500,"not legal"
1473,40,2000,"working fulltime",45,"married",32,1,,,"yes","male",,"yes",,,,"white",24937,14,,"junior college","0",,29925,2,"yes","yes",51,46,,5,,38.4,"believe sometimes",2000,.a
1474,33,2000,"working fulltime",45,"married",,2,0,0,"yes","male",,"yes",,,,"white",29925,18,,"graduate","1-2",,36575,0,"no","no",65,64,64,6,85.1,78.5,,2500,.a
1475,40,2000,"working fulltime",35,"divorced",19,1,,,"yes","female","no","yes","strongly agree",,80,"white",9143,12,"not legal","high school",,"a good idea",9143,3,"yes","yes",24,32,51,,63.5,38.9,,80,"not legal"
1476,19,2000,"working parttime",30,"never married",,3,,,"yes","male","yes","yes","agree",500000,70,"white",5985,12,"not legal","high school",,"a good idea",141038,0,"yes","yes",29,48,,,,67,,1695,"not legal"
1477,38,2000,"working fulltime",60,"married",,3,0,14,"yes","male","no","yes","agree",400000,80,"white",134018,20,"legal","graduate",,,141038,0,,,69,,72,,93.3,,,,"legal"
1478,25,2000,"working fulltime",40,"never married",,0,4,3,"yes","female",,"yes",,,,"black",18287,16,,"high school","16-25",,36575,0,"no","no",65,48,,6,,73.8,"know god exists",150,.a
1479,22,2000,"keeping house",,"never married",16,5,,,"no","female",,"yes",,,,"black",,10,,"lt high school","6-10",,2327,5,"no","no",,43,,4,,35.4,"know god exists",,.a
1480,26,2000,"working parttime",,"separated",19,7,,,,"female",,"yes",,,,"white",2327,12,"not legal","high school",,"a good idea",2327,4,"no","no",51,,,6,,,"know god exists",150,"not legal"
1481,56,2000,"working fulltime",40,"divorced",15,6,,,,"female","no","yes","agree",100000,50,"white",3657,8,,"lt high school",,,3657,4,"no","no",36,28,43,,37.3,32.4,,,.a
1482,22,2000,"keeping house",,"never married",,5,,,"yes","male","no","yes","agree",3000,80,"white",,12,"legal","high school",,"a good idea",,0,,,,32,42,,32.3,38.9,,,"legal"
1483,26,2000,"keeping house",,"never married",13,5,,,"yes","female","no","yes","strongly agree",,30,"black",,10,"legal","lt high school",,"a good idea",1330,5,"yes","yes",,23,36,,28.6,22.5,,,"legal"
1484,19,2000,"keeping house",,"never married",,2,,,,"female",,"yes",,,,"black",,10,"not legal","lt high school",,"a good idea",3657,0,"no","no",,66,,6,,73.2,"believe sometimes",,"not legal"
1485,43,2000,"working fulltime",40,"separated",17,11,,,"no","female",,"yes",,,,"black",7481,9,"not legal","lt high school","0","a good idea",7481,2,,,28,66,27,5,34.3,73.2,"know god exists",,"not legal"
1486,51,2000,"keeping house",,"married",18,7,,,"yes","female","no","yes","agree","> 1000000",2,"black",,12,"legal","high school",,"a good idea",29925,2,"yes","yes",33,17,,,,29,,1000,"legal"
1487,43,2000,"working fulltime",55,"married",25,4,0,3,"yes","male",,"yes",,,,"white",29925,12,"not legal","high school","0","a good idea",54862,2,,,51,24,30,7,31.5,29.2,"know god exists",,"not legal"
1488,43,2000,"working fulltime",50,"divorced",19,3,,,"no","male","no","yes",,500000,80,"white",14131,9,,"lt high school",,,15793,2,"yes","yes",30,,35,,26.7,,,,.a
1489,31,2000,"keeping house",,"married",21,2,0,0,"yes","female","no","yes","agree",,75,"white",1330,12,"not legal","high school",,"depends",7481,2,,,36,64,30,,31.5,78.5,,4000,"not legal"
1490,72,2000,"retired",,"married",20,2,,,"yes","male","no","yes","agree","> 1000000",90,"white",,8,"not legal","lt high school",,"a bad idea",5985,7,,,28,33,40,,37.3,27.7,,100,"not legal"
1491,71,2000,"keeping house",,"married",20,5,,,,"female",,"yes",,,,"white",,12,"not legal","high school",,"a bad idea",12468,4,"no","no",54,,40,6,37.3,,"know god exists",,"not legal"
1492,63,2000,"working fulltime",46,"married",26,2,,,"yes","male",,"yes",,,,"white",12468,13,,"high school","0",,14131,1,"yes","yes",42,37,35,6,37.4,44.4,"no way to find out",,.a
1493,24,2000,"working fulltime",40,"married",22,1,,,,"female",,"yes",,,,"white",2327,12,"legal","high school",,"a bad idea",14131,1,"no","no",36,36,60,3,60.5,33.1,"believe sometimes",300,"legal"
1494,40,2000,"working fulltime",56,"separated",21,4,,0,"no","female","no","yes","agree",60000,100,"white",14131,12,,"high school",,,14131,2,"no","no",31,29,,,,33.1,,150,.a
1495,42,2000,"working fulltime",50,"divorced",29,4,0,8,,"female",,"yes",,,,"white",2992,16,"legal","bachelor",,"depends",24937,2,"no","no",51,,86,8,97.2,,"know god exists",4500,"legal"
1496,70,2000,"retired",,"never married",,1,,,"yes","female","no","yes","agree","> 1000000",75,"white",,18,"not legal","graduate",,"a bad idea",141038,0,"yes","yes",52,,59,,73.3,,,250,"not legal"
1497,36,2000,"working fulltime",44,"divorced",22,2,,,"yes","female",,"yes",,,,"black",15793,16,,"graduate",,,15793,2,"no","no",40,66,,,,73.2,,,.a
1498,32,2000,"working fulltime",40,"married",,2,,1,"yes","female","no","yes","agree","> 1000000",65,"white",29925,16,"not legal","bachelor",,"depends",54862,0,,,59,36,30,,36.5,25.5,,30,"not legal"
1499,67,2000,"retired",,"divorced",25,1,,,,"male","no","yes","agree",200000,95,"white",,12,,"high school",,,14131,3,"yes","no",42,51,51,,63.5,63.5,,,.a
1500,31,2000,"retired",,"married",14,8,,0,"yes","female",,"yes",,,,"black",,8,"not legal","lt high school","1-2","a bad idea",,1,,,,28,35,5,29.2,25.2,"know god exists",,"not legal"
1501,53,2000,"other",,"divorced",17,5,,,"yes","female","no","yes","agree",500000,25,"black",,12,"legal","high school",,"a bad idea",4987,2,"no","no",32,40,,,,41.3,,1000,"legal"
1502,33,2000,"working fulltime",40,"never married",,1,,0,"no","female","no","yes","strongly agree",200000,95,"white",21612,16,"not legal","bachelor",,"a good idea",21612,0,,,49,44,49,,64.2,50.7,,,"not legal"
1503,26,2000,"working fulltime",40,"married",25,1,,,"yes","female","no","yes","agree",200000,75,"white",21612,17,"not legal","bachelor",,"a bad idea",36575,1,"yes","yes",60,64,73,,92.8,78.5,,200,"not legal"
1504,44,2000,"working parttime",24,"never married",30,0,0,2,"yes","female",,"yes",,,,"white",5985,16,,"bachelor","6-10",,5985,2,"no","no",66,,51,8,69.7,,"know god exists",,.a
1505,40,2000,"working fulltime",40,"married",26,3,3,4,"yes","male",,"no",,,,"black",18287,16,,"bachelor","16-25",,18287,1,"yes","yes",52,66,59,6,73.3,80.3,"know god exists",500,.a
1506,22,2000,"working fulltime",40,"never married",,1,,,"no","female","no","yes","strongly agree",100000,75,"white",9143,12,"not legal","high school",,"a bad idea",9143,0,,,33,,30,,36.5,,,200,"not legal"
1507,27,2000,"working fulltime",40,"married",,2,0,2,"yes","male",,"yes",,,,"white",12468,14,"not legal","high school","0","a bad idea",12468,0,,,49,,51,7,63.5,,"believe but doubts",150,"not legal"
1508,33,2000,"unempl, laid off",,"married",26,3,,1,"yes","male","no","yes","agree",300000,50,"white",24937,14,,"junior college",,,36575,2,"yes",,51,,73,,86.8,,,,.a
